department_id,department_name,head_of_department,contact_number
1,Emergency,William Daniel,(560)658-7191x3895
2,Cardiology,Charles Munoz,001-302-408-2634x232
3,General Medicine,Samantha Walton,230.859.9592x0695
4,Oncology,Linda Rogers,(631)210-9421x5537
5,Radiology,William Turner,(544)665-9903x0442
6,Oncology,Dustin Massey,+1-623-286-8238x96507
7,Surgery,Anthony Gonzalez,+1-986-857-8927x990
8,Cardiology,Brandy Barajas,+1-682-553-3334
9,Cardiology,Victor Martin MD,+1-271-658-1938x96078
10,Neurology,Todd Andrade,(766)897-4095x10991
11,Neurology,Lauren Rose,+1-899-975-0415x52356
12,General Medicine,Courtney Garrett,001-887-962-4993x3200
13,General Medicine,Steve Horton Jr.,244.382.0681
14,Pediatrics,Erica Barnes,+1-661-410-1300x5238
15,Orthopedics,Dennis Guzman,606.883.7761
16,Neurology,Thomas Robinson,375-773-0705
17,Cardiology,Edward Potter,001-692-476-1406
18,Surgery,Amber Mayo,928.735.0249
19,Cardiology,Robert Rangel,+1-814-373-4624x52658
20,Surgery,Adam Lewis,+1-759-686-8229x29887
