doctor_id,first_name,last_name,specialty,contact_number,email,department_id
7e6762d7-0bb5-466b-8ecf-12549804ade8,William,Torres,Oncology,001-867-828-0564x5000,fisherkathryn@example.net,11
15b06256-fa97-42e5-8282-b0b7cad099df,Andrew,Grant,Surgery,436-715-0461x40529,pbrown@example.net,14
113c1490-b61b-4a55-bd13-80f65bf1bca0,Darren,Patton,Neurology,(600)981-8698x511,bianca75@example.org,18
34bd9923-83b5-48b3-b03c-e08beae05735,Allison,Carey,Surgery,001-381-528-0533x06052,melissa95@example.org,1
a20076ae-6f25-4b32-abd7-81abaff3b37a,Stacy,Banks,Radiology,001-830-902-9459x6100,ldiaz@example.org,6
d9bb48d6-2fcf-4ff1-a006-b332896ebe47,Scott,Cohen,Cardiology,001-471-504-5221x600,asanchez@example.org,13
7016da2d-4399-49e3-b569-f938e3d03a47,Lisa,Scott,Pediatrics,(921)882-8829,iowens@example.org,17
b8f8948e-b88f-4e74-af40-2bbe66678443,Benjamin,Wiggins,Pediatrics,8502222999,usingh@example.net,3
cdc8e842-c261-4183-be76-421e1b151a69,Kyle,Johnson,Cardiology,8339133556,reynoldsleon@example.net,8
203f0a37-3af7-4779-b631-06af74ddc620,Nicole,Rice,Neurology,001-764-623-3930x617,wardkathleen@example.org,15
46a260ff-8bbc-43b0-a8e0-2405979cedff,Brandon,Stevens,Surgery,(748)263-7317x06516,estradalauren@example.net,12
c8a157fb-eb53-47ef-8424-f8c0ce9fd702,Rebecca,Wilcox,Surgery,(458)864-8244x1863,sonia16@example.org,2
65ca1dd6-1884-4ac6-9e55-75fbb6c89d9f,Justin,Dunn,Oncology,651-477-8713x857,markcummings@example.org,7
6771db55-1cc0-46f2-9b81-de193a0038c6,Angela,Lee,Cardiology,001-748-651-7251x311,laurenmullins@example.com,19
a66be6d0-9ea2-4e1c-954b-674394305c60,Melanie,Martin,Cardiology,645-916-7271x36553,seanmoran@example.com,6
8fe52d05-bf11-4dc2-af82-d02c7919035d,Elijah,Barnes,Cardiology,+1-999-616-3929x0458,jonathanchandler@example.com,8
4a569412-3613-43c6-9cd1-52f2c8dde159,Noah,Hamilton,Oncology,537.863.6216,juliehernandez@example.com,2
a70f84a2-31a2-4a2b-ba45-ca754a63cfc6,Nancy,Andersen,General Medicine,560-244-5855,emilyhanson@example.org,2
9b5b06b8-9967-471f-8e6c-383eca2e1ae9,Patricia,Garcia,Surgery,431-950-0205x5508,eburch@example.org,19
94bb8f0a-e979-440d-a1e5-e2f006b76dc6,Carol,Carpenter,General Medicine,311.778.3030x219,ajordan@example.com,20
033cd8ec-5cdb-47e8-b573-ec8643d03815,Nicholas,White,Surgery,+1-844-545-7060x698,dmiller@example.net,5
8b06d06c-9c16-476f-8d08-1c63215d982e,Aaron,Randall,Surgery,864.522.4685x08660,vlane@example.net,6
65e22917-2e9a-4a38-a16c-08f842dd4259,Patrick,Roberts,Surgery,280-675-2643x518,johnathan33@example.org,7
13d8ed74-bb22-4c2d-92dc-c64fdab8dc56,Patrick,Glover,Oncology,271-281-0623x9292,aclark@example.org,13
1af1df18-66cb-47e8-9c48-7163cc527486,Rhonda,Allen,Pediatrics,(559)709-0041x75888,amandataylor@example.org,4
